ELECTORATE,URL
Adelaide,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-179.htm
Barker,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-180.htm
Boothby,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-182.htm
Grey,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-183.htm
Hindmarsh,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-185.htm
Kingston,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-186.htm
Makin,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-187.htm
Mayo,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-188.htm
Spence,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-325.htm
Sturt,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-190.htm
Lingiari,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-306.htm
Solomon,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-307.htm
Bass,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-192.htm
Braddon,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-193.htm
Clark,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-319.htm
Franklin,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-195.htm
Lyons,https://results.aec.gov.au/27966/Website/HouseDivisionPage-27966-196.htm
